Year,Passenger Car,SWB Vehicles,Motorcycles,Light Truck,LWB Vehicles,Urban Bus,Para-transit,Intercity Bus,School Bus,Commuter Rail,Heavy Rail,Light Rail,"Urban Rail (Hvy, Lt, Commuter)",Intercity Rail (Amtrak),Carrier,General Aviation
2005,9579.076234,,23.6875,7296.329824,,93.07429005,14.44058,41.50776334,85.21671429,25.9833078,38.967691,5.903569,70.8545678,10.89471822,2089.253824,242.39572
2006,9315.757757,,27.62875,7549.523494,,98.39205762,15.42041,42.73920882,86.31364909,26.182862,38.347351,6.554926,71.085139,10.53631477,2136.812654,256.32344
2007,4610.552134,5705.091024,59.365,3839.6384,2133.48431,91.67811714,24.94909619,43.9679,84.17091041,29.4197131,39.4660308,7.1059947,75.9917386,10.54666077,2171.000879,242.53946
2008,4415.754816,5286.096465,61.1775,3786.158754,2160.682274,94.59910095,26.26156524,44.23262173,80.96307053,29.3407503,40.2983203,7.4533851,77.0924557,10.78332266,2093.732254,264.77826
2009,,10559.64413,60.28625,,4409.710057,91.27581667,24.10174857,44.40973887,83.21641961,31.57992,40.177354,7.630182,79.387456,10.48601562,1928.401017,209.56832
2010,,10676.6526,53.3375,,4467.152728,86.63331286,23.86918095,44.5666374,80.99794628,31.506023,39.08142,7.743911,78.331354,10.70999854,1917.949119,221.23056
2011,,10866.89347,53.3,,4353.116526,91.02217667,25.49816905,42.93533981,75.47035763,31.768537,39.846506,8.157471,79.772514,10.6956251,1948.960182,227.1476
2012,,10896.53302,61.39125,,4325.890298,89.23792095,26.45767381,42.11893483,75.47035763,31.564272,39.236505,8.333234,79.134011,10.62001841,1891.023995,228.80304
2013,,10898.97578,58.46375,,4331.866556,90.15769476,27.10033476,37.44001568,75.47035763,32.465314,39.867184,9.118998,81.451496,10.95092652,1896.078346,203.56666
2014,,10894.14154,57.32875,,4571.096881,85.88989857,32.50799429,38.65914041,75.47035763,31.727181,39.412268,10.183915,81.323364,10.87242848,1890.617015,221.04066
2015,,10946.28409,55.985,,4445.255701,88.34126676,26.10569915,39.58175112,75.47035763,32.03747267,39.44964832,9.284422,80.77154299,10.3840176,1963.857488,208.91464
2016,,11085.92117,58.225,,4598.3517,91.65167529,25.59757592,33.74902737,75.47035763,32.5065406,38.87850003,9.377473,80.76251363,10.11101033,2002.34813,217.74306
2017,,11113.06403,57.30375,,4547.871848,91.47216776,26.08140673,28.12704536,75.47035763,32.82456754,38.54388505,9.61527,80.98372259,10.00424719,2018.963446,232.20098
