NAICS,Industry,1985,1988,1991,1994,1998,2002,2006,2010,2014,fuel_type
322,Paper,4.24,2.36,2.522,2.49,2.37,3.71,7.82,11.46,20.44,Residual
323,Printing and Related Support,4.64,3.11,3.717,3.39,2.6,5,8.5,9.82,20,Residual
324,Petroleum and Coal Products,4,3.03,3,2.99,2.3,3.23,5,8.37,16.34,Residual
325,Chemicals,4.33,2.49,2.358,3.39,2.67,3.64,7.57,10.61,21.41,Residual
326,Plastics and Rubber Products,4.56,2.6,2.494,2.68,2.55,3.86,8.67,12.8,12,Residual
327,Nonmetallic Mineral Products,4.34,2.7,3.141,2.81,2.92,3.99,8.4,11.6,18.9,Residual
331,Primary Metals,4.18,2.29,2.172,2.62,2.22,4.25,6.04,10.37,22.24,Residual
332,Fabricated Metal Products,4.69,3.17,3.159,3.75,2.85,4.25,8,6.36,18,Residual
333,Machinery,4.64,3.02,3.079,3.18,2.36,4.15,8,7.7,35.5,Residual
334,Computer and Electronic Products,4.666,2.647,3.377,3.333,2.5,4.97,9.19,14.32,24.52,Residual
335,"Electrical Equip., Appliances, and Components",4.75,2.71,3.47,3.48,2.93,4.6,9,12.64,26,Residual
336,Transportation Equipment,4.84,2.88,3.035,2.68,2.79,4.24,7.56,9.23,17.96,Residual
337,Furniture and Related Products,4.88,3.14,3.312,3.48,2.6,4,8,19,19,Residual
339,Miscellaneous,4.95,2.87,2.953,3,2.6,4,8,19.88,30.56,Residual
311,Food,1.74,1.54,1.433,1.46,1.43,1.46,1.93,2.41,2.56,Coal
312,Beverage and Tobacco Products,1.896,1.69,1.6322,1.622,1.71,2.32,3.19,4.29,4.47,Coal
313,Textile Mills,2.29,1.94,1.952,1.88,2.06,2.28,3.63,4.67,4.53,Coal
314,Textile Product Mills,2.29,1.94,1.952,1.88,2,2,3.5,3.65,5.61,Coal
315,Apparel,2.46,2.28,2.4,2.4,2,2.5,3.5,3.5,5,Coal
316,Leather and Allied Products,1.87,1.96,1.775,1.75,1.56,1.87,2.97,3.85,5,Coal
321,Wood Products,3,2.5,2.5,2.5,2,2,2.2,5.81,4.6,Coal
322,Paper,1.98,1.78,1.87,1.83,1.75,1.97,2.87,3.61,3.99,Coal
323,Printing and Related Support,1.9525,1.925,1.716,2.057,2,2.057,3.267,4.235,5,Coal
324,Petroleum and Coal Products,1.82,2.03,2.01,1.22,2,2,3.73,4.79,4.48,Coal
325,Chemicals,1.86,1.63,1.681,1.65,1.66,1.99,2.7,3.28,2.76,Coal
326,Plastics and Rubber Products,2.11,2.26,2.154,2.28,2.5,2,3,6.1,7.09,Coal
327,Nonmetallic Mineral Products,1.87,1.53,1.583,1.66,1.6,1.75,2.57,3.07,3.48,Coal
331,Primary Metals,2.46,1.78,1.878,1.81,1.42,1.95,3.56,4.79,4.82,Coal
332,Fabricated Metal Products,2.29,1.94,1.993,2.08,2.61,5.03,4,4.85,9.44,Coal
333,Machinery,1.83,1.58,1.544,1.65,1.57,1.49,2.67,3.5,3.5,Coal
