NEA Sector,NAICS,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
122,500,2.378,2.825,3.058,3.558,3.962,4.65,5.254,5.708,6.192,6.458,7.34,8.01,9.098,9.841,10.635,11.706,12.102,13.796,14.024,14.483,14.757,15.003,16.285,15.984,16.076,16.939,17.608,18.478
123,500,592.704,641.339,704.642,739.202,807.572,865.379,932.65,1003.177,1088.45,1182.438,1306.526,1438.834,1561.12,1652.078,1758.489,1907.243,1940.78,2061.701,2145.955,2273.955,2378.048,2372.224,2479.03,2474.57,2495.421,2547.758,2636.326,2738.448
124,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,500,20.782,21.76,22.113,26.823,30.116,33.544,36.23,38.518,47.878,54.296,58.288,60.554,58.735,54.815,51.229,51.444,47.616,49.165,48.987,49.889,48.176,46.916,49.277,49.666,50.636,52.642,53.96,54.943
129,500,12.126,13.276,13.983,16.467,17.935,20.735,22.068,23.781,27.223,30.392,32.4,33.697,35.083,36.701,39.089,40.434,39.839,42.481,43.377,44.452,43.923,43.336,45.931,44.543,44.475,46.304,47.866,48.994
130,500,35.68,39.683,42.368,52.379,56.524,67.637,76.439,85.985,98.442,106.41,117.866,128.582,143.975,157.779,175.176,191.14,189.306,206.174,211.972,220.392,221.415,221.977,234.363,229.883,228.558,236.126,243.248,250.241
131,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
