Year,SF_NE,SF_MW,SF_S,SF_W, Shr Sum,MF_NE,MF_MW,MF_S,MF_W, Shr Sum,MH_NE,MH_MW,MH_S,MH_W, Shr Sum
1996,0.172798197,0.259384423,0.363383523,0.204433858,1,0.284550185,0.214206592,0.267387819,0.233855403,1,0.08679118,0.175409315,0.541311102,0.196488403,1
1997,0.17400938,0.257197411,0.363058504,0.205734706,1,0.282764902,0.212823686,0.266587906,0.237823505,1,0.082985884,0.173840178,0.551775525,0.191398413,1
1998,0.174919788,0.255250796,0.362033685,0.207795731,1,0.280526601,0.209817776,0.272641317,0.237014306,1,0.081963155,0.171180941,0.553092346,0.193763558,1
1999,0.175830196,0.253304182,0.361008865,0.209856757,1,0.278288299,0.206811866,0.278694728,0.236205106,1,0.080940426,0.168521704,0.554409166,0.196128704,1
2000,0.17551586,0.250737903,0.362938909,0.210807328,1,0.275206705,0.206414661,0.279705367,0.238673267,1,0.081884614,0.167422873,0.558849001,0.191843512,1
2001,0.175201524,0.248171624,0.364868952,0.2117579,1,0.272125111,0.206017455,0.280716006,0.241141427,1,0.082828801,0.166324042,0.563288836,0.18755832,1
2002,0.174178945,0.248058522,0.365578122,0.212184411,1,0.271220947,0.20304741,0.283969731,0.241761911,1,0.07710477,0.166668294,0.565871466,0.19035547,1
2003,0.173156365,0.24794542,0.366287293,0.212610922,1,0.270316783,0.200077366,0.287223456,0.242382395,1,0.071380738,0.167012546,0.568454095,0.193152621,1
2004,0.171076673,0.247060146,0.368775294,0.213087887,1,0.270317916,0.198039732,0.288967217,0.242675135,1,0.079383921,0.166998543,0.567402674,0.186214862,1
2005,0.168996981,0.246174872,0.371263295,0.213564852,1,0.270319049,0.196002098,0.290710979,0.242967875,1,0.087387103,0.166984539,0.566351254,0.179277103,1
2006,0.167980272,0.243979019,0.373635608,0.214405101,1,0.266555808,0.197493408,0.291521352,0.244429433,1,0.083208451,0.16718551,0.569596662,0.180009376,1
2007,0.166963562,0.241783167,0.376007922,0.215245349,1,0.262792567,0.198984718,0.292331724,0.245890991,1,0.0790298,0.167386481,0.572842071,0.180741648,1
2008,0.167225843,0.241058372,0.377745174,0.213970611,1,0.260110191,0.200310906,0.294094637,0.245484266,1,0.081812023,0.158755892,0.569354171,0.190077915,1
2009,0.167488124,0.240333578,0.379482427,0.212695872,1,0.257427816,0.201637094,0.29585755,0.245077541,1,0.084594246,0.150125302,0.565866271,0.199414181,1
2010,0.166263139,0.238979976,0.380177258,0.214579627,1,0.256286465,0.200759817,0.296507725,0.246445993,1,0.084594246,0.150125302,0.565866271,0.199414181,1
2011,0.165038154,0.237626374,0.38087209,0.216463383,1,0.255145115,0.19988254,0.297157899,0.247814446,1,0.084594246,0.150125302,0.565866271,0.199414181,1
2012,0.165837944,0.237866062,0.380016453,0.216279542,1,0.254003764,0.199005262,0.297808074,0.249182899,1,0.081578964,0.154112745,0.565281358,0.199026933,1
2013,0.166637735,0.23810575,0.379160815,0.2160957,1,0.252862414,0.198127985,0.298458249,0.250551352,1,0.078563683,0.158100187,0.564696444,0.198639685,1
2014,0.165756895,0.237967593,0.378389634,0.217885878,1,0.254989907,0.198839045,0.301725194,0.244445854,,0.076584648,0.150750083,0.566983196,0.205682073,
2015,0.164876056,0.237829436,0.377618452,0.219676056,1,0.2571174,0.199550104,0.30499214,0.238340356,,0.074605613,0.143399978,0.569269949,0.21272446,
2016,0.163861989,0.238648588,0.378497215,0.218992208,1,0.255550529,0.194430099,0.310255996,0.239763377,,0.073991951,0.147147636,0.56334354,0.215516873,
2017,0.162847922,0.239467741,0.379375977,0.21830836,1,0.253983657,0.189310094,0.315519852,0.241186397,,0.073378288,0.150895294,0.557417131,0.218309286,
2018,0.162847922,0.239467741,0.379375977,0.21830836,1,0.253983657,0.189310094,0.315519852,0.241186397,,0.073378288,0.150895294,0.557417131,0.218309286,
